"","A10376","A10442","A10469","A10459","A10470","A10046","A10210","A10029","A10224","A10388","A10451","A10114","A10495","A10081","A10151","A10441","A10474","A10468","A10477","A10472","A10209","A10236","A10410","A10368","A10067","A10254","A10457","A10262","A10048","A10235","A10172","A10006","A10345","A10419","A10401","A10365","A10427","A10121","A10227","A10089","A10272","A10158","A10261","A10101","A10139","A10415","A10493","A10314","A10250","A10485","A10245","A10229","A10063","A10166","A10201","A10509","A10049","A10411","A10423","A10403","A10507","A10438","A10476","A10480","A10197","A10276","A10409","A10012","A10069","A10186","A10036","A10498","A10426","A10428","A10316","A10315","A10206","A10182","A10429","A10378","A10054","A10357","A10383","A10238","A10255","A10387","A10497","A10500","A10322","A10278","A10463","A10464","A10070","A10282","A10015","A10269","A10107","A10078","A10305","A10430","A10424","A10501","A10437","A10202","A10100","A10279","A10294","A10014","A10450"
"ABCA13",0,0,23,10,6,0,1,8,0,15,0,0,2,6,3,0,1,2,0,0,0,0,0,6,1,0,1,1,0,3,0,0,0,5,3,0,16,0,1,0,7,2,2,3,3,2,0,5,1,1,1,1,0,1,0,8,20,1,0,9,7,14,10,4,4,0,2,2,2,0,5,2,5,1342,142,0,9,0,0,3,4,10,6,0,22,0,8,5,31,0,0,16,0,2,0,25,5,0,0,0,0,0,1,2,1,14,4,0,1
"ACHE",0,26,0,6,9,1,1,7,0,0,0,9,0,0,0,1,0,7,4,31,47,0,0,1,17,4,25,24,4,0,26,1,18,10,0,1,1,4,4,55,3,2,2,2,6,0,0,1,44,1,0,2,14,0,0,0,0,3,0,2,0,8,0,9,1,2,0,3,3,4,2,12,0,0,0,5,2,4,0,5,1,0,3,17,6,14,6,0,2,0,0,7,1,13,4,0,15,0,0,0,0,0,1,1,1,4,2,0,11
"ACKR3",11,1,38,18,59,121,31,25,40,93,38,93,42,48,33,17,38,22,15,49,42,36,9,38,190,162,101,12,14,14,48,95,25,15,36,29,24,30,49,47,90,14,19,43,72,101,48,43,304,37,88,37,168,13,17,14,21,1174,8,11,236,110,39,63,161,45,65,49,145,22,34,230,28,43,101,632,24,3,26,62,75,28,61,615,39,56,68,27,46,52,9,780,96,492,37,30,210,45,91,89,6,6,19,44,38,19,44,10,18
"ACTBP2",5,40,0,13,7,8,0,3,9,8,24,5,51,18,17,8,15,2,8,4,6,15,15,15,3,2,1,26,6,6,9,10,20,19,3,16,18,5,11,7,0,8,12,13,6,8,12,24,7,12,14,6,7,5,11,3,3,7,0,4,9,0,9,6,4,1,3,6,15,11,2,1,4,0,0,8,2,7,5,6,0,0,0,0,1,1,1,0,0,0,0,3,7,2,1,5,11,4,8,5,0,18,9,7,2,22,3,2,4
"ADAMTS2",0,0,937,12,25,1620,7,0,0,34,11,9,30,127,11,396,9,5,11,5,2,15,10,0,16,8,34,11,17,3,1108,58,2,5,289,19,730,17,48,50,6,9,0,3,86,3,18,72,4,4,181,132,17,0,121,104,27,3220,9,0,1817,2084,75,183,387,4,68,64,64,20,51,96,6,47,0,1401,11,252,0,336,39,133,2024,1852,357,2,21,229,306,330,0,3352,533,353,3,13,835,69,5,0,86,0,113,3,2,0,9,15,47
"ADAMTSL2",1,17,0,3,15,0,3,8,8,4,0,0,0,6,1,5,0,2,1,15,34,4,10,7,24,8,22,10,2,10,25,3,3,0,2,6,0,22,12,0,1,0,3,4,11,3,8,4,32,16,0,0,4,0,0,0,0,4,0,0,0,2,0,10,2,1,6,2,2,2,5,3,8,0,0,0,7,2,0,8,2,6,4,0,3,3,1,0,4,0,0,0,13,0,8,3,0,0,9,0,10,0,0,7,5,0,10,9,8
"ADGRG3",63,33,167,120,34,98,60,86,76,50,35,31,10,33,131,29,148,50,35,84,90,76,48,30,141,122,285,894,85,98,722,134,107,60,39,62,76,25,81,106,237,40,55,43,145,111,76,131,173,52,31,85,118,109,116,372,101,105,102,275,2503,408,190,78,128,155,99,93,82,89,26,139,42,302,369,221,39,76,94,195,465,336,835,86,85,290,119,1688,74,193,1,2651,240,275,109,148,507,0,75,16,73,25,79,32,19,9,30,58,133
"AK4",0,10,60,7,33,15,9,18,4,43,47,35,25,21,90,96,69,20,11,24,35,47,29,90,34,24,10,54,20,25,0,141,28,27,18,35,47,31,79,16,37,51,19,29,26,13,26,45,8,12,39,29,8,15,2,29,28,581,78,12,23,44,9,107,446,87,4,362,228,52,27,50,31,63,47,176,35,82,307,35,42,38,39,61,27,13,93,89,8,38,0,28,344,87,30,29,56,62,49,56,12,0,110,38,9,34,25,2,16
"ALOX15B",0,3,14,0,5,29,0,15,9,8,0,0,11,18,2,22,11,12,1,0,6,9,10,0,3,2,1,4,4,10,236,9,1,19,57,16,21,6,28,9,4,17,5,8,9,7,14,11,15,5,71,11,14,1,22,7,32,924,5,9,323,147,23,44,175,17,1,53,125,0,29,9,20,0,0,32,3,2,0,38,11,3,51,39,9,7,30,0,21,7,0,263,123,4,3,23,16,4,0,7,15,0,22,8,1,0,17,23,17
"AMPH",14,7,40,0,13,58,2,10,24,41,12,5,12,52,11,3,19,23,0,5,18,15,27,7,21,6,9,6,13,9,140,24,4,2,19,22,23,10,7,16,8,13,16,14,19,12,18,13,19,12,21,10,8,7,24,15,32,691,10,3,245,56,14,24,145,23,25,27,42,9,9,10,9,53,46,476,17,27,0,140,38,34,166,124,17,19,3,43,17,28,0,398,91,57,6,30,46,0,17,11,11,2,2,5,9,28,16,5,9
"ANGPTL4",0,0,0,16,13,10,0,10,0,4,0,36,0,6,0,5,1,4,3,16,42,3,4,14,47,3,5,21,0,9,15,81,21,1,3,2,4,6,5,28,14,0,5,4,16,7,8,9,11,5,3,5,25,3,6,9,2,171,0,6,3,24,9,12,15,7,2,87,37,11,3,43,3,0,0,0,8,4,0,62,30,20,37,7,6,28,19,31,14,57,0,0,57,647,7,2,585,0,0,0,10,0,14,2,3,0,7,22,25
